1771901626.471, 0.962, -0.004, 13
1771901626.571, 1.015, 0.001, 12
1771901626.671, 0.989, -0.025, 13
1771901626.771, 1.040, 0.007, 13
1771901626.871, 0.985, -0.038, 12
1771901626.971, 0.951, -0.004, 13
1771901627.071, 1.034, 0.077, 12
1771901627.171, 1.039, -0.027, 13
1771901627.271, 1.012, 0.045, 13
1771901627.371, 1.004, -0.027, 12
1771901627.471, 1.007, 0.021, 12
1771901627.571, 1.009, -0.005, 12
1771901627.671, 1.000, -0.012, 13
1771901627.771, 1.069, 0.032, 13
1771901627.871, 1.014, -0.044, 12
1771901627.971, 0.978, 0.018, 13
1771901628.071, 0.997, -0.014, 11
1771901628.171, 0.972, -0.017, 13
1771901628.271, 1.080, 0.139, 13
1771901628.371, 1.012, 0.072, 12
1771901628.471, 1.072, 0.140, 13
1771901628.571, 0.969, -0.043, 12
1771901628.671, 0.939, -0.044, 13
1771901628.771, 0.970, 0.017, 11
1771901628.871, 0.928, -0.082, 12
1771901628.971, 0.972, -0.056, 13
1771901629.071, 0.988, -0.050, 12
1771901629.171, 0.972, -0.018, 13
1771901629.271, 0.956, -0.067, 11
1771901629.371, 1.047, 0.035, 12
1771901629.471, 1.012, -0.061, 13
1771901629.571, 0.971, -0.067, 12
1771901629.671, 1.028, 0.015, 13
1771901629.771, 1.004, -0.016, 11
1771901629.871, 1.016, 0.058, 13
1771901629.971, 1.015, 0.013, 12
1771901630.071, 1.017, -0.002, 13
1771901630.171, 1.026, -0.026, 12
1771901630.271, 0.999, 0.021, 13
1771901630.371, 0.967, -0.053, 13
1771901630.471, 0.942, -0.052, 11
1771901630.571, 1.053, 0.082, 12
1771901630.671, 1.042, 0.034, 12
1771901630.771, 0.965, -0.055, 13
1771901630.871, 1.016, -0.017, 11
1771901630.971, 1.004, -0.022, 13
1771901631.071, 0.995, -0.019, 11
1771901631.171, 1.009, 0.004, 13
1771901631.271, 1.002, 0.047, 12
1771901631.371, 1.031, 0.023, 12
1771901631.471, 1.019, -0.033, 12
1771901631.571, 1.018, 0.013, 12
1771901631.671, 0.987, -0.023, 13
1771901631.771, 0.950, -0.052, 12
1771901631.871, 1.051, 0.091, 13
1771901631.971, 1.052, 0.099, 12
1771901632.071, 1.010, -0.021, 13
1771901632.171, 1.063, -0.022, 12
1771901632.271, 1.005, 0.043, 13
1771901632.371, 1.012, 0.056, 11
1771901632.471, 1.015, -0.025, 13
1771901632.571, 0.982, -0.045, 12
1771901632.671, 1.021, 0.071, 13
1771901632.771, 1.015, -0.011, 13
1771901632.871, 1.029, 0.021, 11
1771901632.971, 1.038, 0.002, 13
1771901633.071, 1.018, -0.042, 11
1771901633.171, 1.011, -0.009, 13
1771901633.271, 1.003, -0.029, 12
1771901633.371, 0.964, -0.024, 13
1771901633.471, 0.990, 0.020, 12
1771901633.571, 1.059, 0.037, 13
1771901633.672, 1.028, 0.014, 12
1771901633.772, 1.007, 0.007, 12
1771901633.872, 0.966, -0.077, 12
1771901633.972, 1.023, 0.011, 11
1771901634.072, 0.933, -0.089, 13
1771901634.172, 0.969, -0.033, 11
1771901634.272, 1.016, 0.068, 12
1771901634.372, 1.060, 0.068, 12
1771901634.472, 1.021, -0.046, 13
1771901634.572, 0.949, -0.100, 12
1771901634.672, 1.005, 0.015, 13
1771901634.772, 1.003, -0.073, 12
1771901634.872, 0.926, -0.158, 13
1771901634.972, 1.037, -0.095, 12
1771901635.072, 1.015, -0.082, 13
1771901635.172, 1.012, 0.107, 12
1771901635.272, 0.980, 0.097, 13
1771901635.372, 0.904, -0.097, 11
1771901635.472, 1.058, 0.015, 12
1771901635.572, 1.110, 0.169, 13
1771901635.672, 0.968, 0.006, 12
1771901635.772, 0.959, -0.018, 13
1771901635.872, 0.993, -0.025, 11
1771901635.972, 1.011, 0.038, 13
1771901636.072, 1.040, 0.025, 12
1771901636.172, 1.001, -0.033, 13
1771901636.272, 0.962, -0.055, 12
1771901636.372, 1.008, 0.042, 13
1771901636.472, 1.045, 0.045, 13
1771901636.572, 1.041, 0.025, 11
1771901636.672, 0.975, -0.061, 13
1771901636.772, 1.019, -0.012, 12
1771901636.872, 0.997, -0.018, 13
1771901636.972, 1.032, 0.051, 12
1771901637.072, 1.005, -0.043, 13
1771901637.172, 0.980, -0.052, 12
1771901637.272, 0.998, 0.025, 13
1771901637.372, 1.022, 0.076, 12
1771901637.472, 1.058, 0.033, 13
1771901637.572, 1.050, 0.037, 12
1771901637.672, 0.972, -0.079, 12
1771901637.772, 1.022, 0.067, 13
1771901637.872, 1.023, 0.051, 12
1771901637.972, 1.010, -0.027, 13
1771901638.072, 1.002, -0.045, 12
1771901638.172, 0.992, 0.032, 13
1771901638.272, 1.003, 0.001, 12
